primaryTitle,genres,directors,writers,averageRating,numVotes
Border,"Crime,Drama,Fantasy",nm4389150,"nm0512137,nm4389150,nm3063074",7.0,24399
Hustlers,"Comedy,Crime,Drama",nm1032521,"nm1032521,nm5658722",6.3,83578
Ghost Stories,"Drama,Horror","nm0246037,nm0638762","nm0246037,nm0638762",6.4,31313
Bright,"Action,Fantasy,Thriller",nm0043742,nm0484840,6.3,168637
The Nutcracker and the Four Realms,"Adventure,Family,Fantasy","nm0002120,nm0002653","nm2060755,nm0006782,nm0677535",5.5,29396
Private Life,"Comedy,Drama",nm0420982,nm0420982,7.2,15957
The Meyerowitz Stories,"Comedy,Drama",nm0000876,nm0000876,6.9,42631
To the Bone,Drama,nm0637497,nm0637497,6.8,41023
What the Health,Documentary,"nm5986857,nm6057112","nm6057112,nm5986857",7.4,27003
The Good Liar,"Crime,Drama,Mystery",nm0174374,"nm8006852,nm0368774",6.6,25939
A Futile and Stupid Gesture,"Biography,Comedy",nm0906476,"nm1685000,nm1595526,nm8047398",6.8,13941
Pink,"Drama,Thriller",nm2287772,"nm1999473,nm2287772,nm1937760",8.1,39141
"I, Tonya","Biography,Comedy,Drama",nm0318916,nm0737216,7.5,181724
The Hate U Give,"Crime,Drama",nm0863387,"nm0920108,nm8021571",7.5,30531
The Shape of Water,"Adventure,Drama,Fantasy",nm0868219,"nm0868219,nm0961827",7.3,370478
The Beguiled,"Drama,Thriller,War",nm0001068,"nm0001068,nm0191580,nm0540816,nm0436894",6.3,52139
Kingsglaive: Final Fantasy XV,"Action,Adventure,Animation",nm1481959,"nm2048769,nm1081992,nm3887796,nm0756983",6.8,19971
Faces Places,Documentary,"nm2346254,nm0889513","nm2346254,nm0889513",7.9,10827
Polaroid,"Drama,Horror,Mystery",nm2209002,"nm1397455,nm2209002",5.1,11160
Doctor Sleep,"Drama,Fantasy,Horror",nm1093039,"nm1093039,nm0000175",7.3,142863
Fullmetal Alchemist,"Action,Adventure,Fantasy",nm1216495,"nm2086079,nm1216495,nm3620555,nm4321342",5.2,18659
"Juliet, Naked","Comedy,Drama,Music",nm0673400,"nm3077617,nm0852591,nm0420982,nm0394984",6.6,19477
On Body and Soul,"Drama,Fantasy,Mystery",nm0258221,nm0258221,7.6,23963
Tully,"Comedy,Drama,Mystery",nm0718646,nm1959505,7.0,52724
Mid90s,"Comedy,Drama",nm1706767,nm1706767,7.4,48888
Life of the Party,Comedy,nm1229520,"nm0565250,nm1229520",5.6,33763
Beast,"Crime,Drama,Mystery",nm3705960,nm3705960,6.8,10605
God's Own Country,"Drama,Romance",nm0497274,nm0497274,7.7,25098
The Ritual,"Horror,Mystery,Thriller",nm1410159,"nm3620967,nm8072788",6.3,77465
A Fantastic Woman,Drama,nm0133326,"nm0133326,nm1752036",7.2,22689
ARQ,"Action,Sci-Fi,Thriller",nm0254660,nm0254660,6.4,35012
Thoroughbreds,"Comedy,Crime,Drama",nm8083973,nm8083973,6.7,34898
The Florida Project,Drama,nm0048918,"nm0048918,nm2022341",7.6,94882
Daddy's Home 2,Comedy,nm1890845,"nm1890845,nm1898234,nm0122602",6.0,62385
Brawl in Cell Block 99,"Action,Crime,Drama",nm0951975,nm0951975,7.1,58901
Psycho Raman,"Crime,Drama,Thriller",nm0440604,"nm3035236,nm0440604",7.4,12932
Goosebumps 2: Haunted Halloween,"Adventure,Comedy,Family",nm1847738,"nm1464577,nm0501359,nm0830419",5.6,17942
The Little Hours,"Comedy,Romance",nm1337885,"nm0090504,nm1337885",5.8,20368
Traffik,Thriller,nm1938064,nm1938064,6.0,18577
Sorry to Bother You,"Comedy,Fantasy,Sci-Fi",nm1108556,nm1108556,6.9,63449
Alex Strangelove,"Comedy,Drama,Romance",nm2574897,nm2574897,6.3,14912
Under the Silver Lake,"Crime,Drama,Mystery",nm1379002,nm1379002,6.5,33214
Two Lottery Tickets,Comedy,nm2735137,"nm0135905,nm2735137",7.7,10704
Train to Busan,"Action,Horror,Thriller",nm3613566,"nm6711056,nm3613566",7.6,165442
A-X-L,"Action,Adventure,Family",nm3513273,nm3513273,5.3,10442
I Don't Feel at Home in This World Anymore.,"Comedy,Crime,Drama",nm0086301,nm0086301,6.9,48929
Madaari,"Adventure,Drama,Thriller",nm1723225,"nm7917740,nm1937760",7.6,13247
The Killing of a Sacred Deer,"Drama,Horror,Mystery",nm0487166,"nm0487166,nm3328207",7.0,123981
Breathe,"Biography,Drama,Romance",nm0785227,nm0629933,7.2,18918
Home Again,"Comedy,Drama,Romance",nm0583654,nm0583654,5.8,28362
Cold Pursuit,"Action,Crime,Drama",nm0596407,"nm2737558,nm0007344",6.2,57165
In the Fade,"Crime,Drama,Thriller",nm0015359,"nm0015359,nm0006737",7.1,28935
Wheelman,"Action,Crime,Thriller",nm1423438,nm1423438,6.4,17519
Insidious: The Last Key,"Horror,Mystery,Thriller",nm0733263,nm1191481,5.7,52440
Call Me by Your Name,"Drama,Romance",nm0345174,"nm0412465,nm6056595",7.9,211979
Uncut Gems,"Crime,Drama,Thriller","nm1343394,nm1509478","nm2563482,nm1343394,nm1509478",7.4,219536
Borg vs. McEnroe,"Biography,Drama,Sport",nm2178458,nm2585445,6.9,27931
The Possession of Hannah Grace,"Horror,Mystery,Thriller",nm1082611,nm0797321,5.2,19246
You Were Never Really Here,"Crime,Drama,Mystery",nm0708903,"nm0708903,nm0024718",6.8,103914
Skyscraper,"Action,Adventure,Thriller",nm1098493,nm1098493,5.8,107212
Hindi Medium,"Comedy,Drama",nm1062080,"nm9822757,nm1062080,nm3451648,nm6057371",7.8,23340
Underwater,"Action,Horror,Sci-Fi",nm1827931,"nm3929259,nm3092414",5.8,62158
Summer of 84,"Drama,Horror,Mystery","nm2377436,nm2375643,nm2379331","nm6233994,nm8186737",6.7,33704
Resident Evil: Vendetta,"Action,Adventure,Animation",nm2764304,"nm5320150,nm0565697",6.3,10813
Phantom Thread,"Drama,Romance",nm0000759,nm0000759,7.5,112152
When We First Met,"Comedy,Fantasy,Romance",nm1847738,nm4465847,6.4,42401
Toilet: A Love Story,"Comedy,Drama",nm3109648,"nm6052646,nm3789785,nm5969139",7.2,18117
King of Thieves,"Biography,Crime,Drama",nm1016428,"nm0671856,nm7715678,nm4931090",5.5,11967
Escape from Pretoria,Thriller,nm2381441,"nm2381441,nm10505382,nm9015500,nm0796960",6.8,20383
I Am Not Your Negro,Documentary,nm0669704,"nm0049924,nm0669704",7.9,19552
Brigsby Bear,"Comedy,Drama",nm5050824,"nm8213708,nm3324982",7.3,15503
The Mountain II,"Action,Drama,War",nm3809021,nm3809021,8.8,104981
The Nun,"Horror,Mystery,Thriller",nm2379028,"nm2477891,nm1490123",5.3,118372
Spies in Disguise,"Action,Adventure,Animation","nm2939767,nm0702863","nm1909378,nm1248357,nm0178589,nm1124448",6.8,35231
The Party,"Comedy,Drama",nm0006845,"nm0006845,nm0232924",6.6,16995
Victoria & Abdul,"Biography,Drama,History",nm0001241,"nm0355822,nm3952658",6.8,32000
The Kitchen,"Action,Crime,Drama",nm0075696,"nm0075696,nm8231176,nm7873490",5.5,15893
Wonder Wheel,Drama,nm0000095,nm0000095,6.2,25242
A Hidden Life,"Biography,Drama,Romance",nm0000517,nm0000517,7.4,18124
Hotel Artemis,"Action,Crime,Drama",nm1510800,nm1510800,6.1,45283
Look Away,"Drama,Fantasy,Horror",nm0077002,nm0077002,5.9,14338
Ralph Breaks the Internet,"Adventure,Animation,Comedy","nm1601882,nm0601781","nm1601882,nm0962596,nm0601781,nm0714114,nm2888684",7.0,131555
Lucky,"Comedy,Drama",nm0002253,"nm1437606,nm1403599",7.3,19298
Verónica,Horror,nm0687042,"nm0687042,nm3281140,nm3678448",6.2,35941
